SKU,Descripción,Stock
OTM1250E3CM110V,OTM1250E3CM110V = 1SCA113652R1001 - Transferencia I-O-II Motorizada 1250A 3Polos voltaje del motor 110Vac/dc Incluye Manija y conectores  agregar separadores de fases PB100  PB200 1SDA05497_R1,3
OTM1250E3CM230C,OTM1250E3CM230C = 1SCA112676R1001 - Transferencia I-O-II Motorizada 1250A 3Polos voltaje del motor 220V Incluye Manija y conectores  agregar separadores de fases PB100  PB200 1SDA05497_R1,4
OTM160E3CM110V,OTM160E3CM110V = 1SCA022845R8530 - Transferencia I-O-II Motorizada 160A 3Polos voltaje del motor 110Vac/dc Incluye Manija y conectores  agregar separadores de fases PB100  PB200 1SDA05497_R1,11
OTM160E3CM230C,OTM160E3CM230C = 1SCA022845R8610 - Transferencia I-O-II Motorizada 160A 3Polos voltaje del motor 220V Incluye Manija y conectores  agregar separadores de fases PB100  PB200 1SDA05497_R1,2
OTM1600E3CM230C,OTM1600E3CM230C = 1SCA112678R1001 - Transferencia I-O-II Motorizada 1600A 3Polos voltaje del motor 220V Incluye Manija y conectores  agregar separadores de fases PB100  PB200 1SDA05497_R1,2
OTM2000E3CM110V,1SCA113683R1001,1
OTM250E3CM110V,OTM250E3CM110V = 1SCA022845R9180 - Transferencia I-O-II Motorizada 250A 3Polos voltaje del motor 110Vac/dc Incluye Manija y conectores  agregar separadores de fases PB100  PB200 1SDA05497_R1,8
OTM315E3CM230C,OTM315E3CM230C = 1SCA022847R1210 - Transferencia I-O-II Motorizada 315A 3Polos voltaje del motor 220V Incluye Manija y conectores  agregar separadores de fases PB100  PB200 1SDA05497_R1,4
OTM400E3CM230C,OTM400E3CM230C = 1SCA022847R1630 - Transferencia I-O-II Motorizada 400A 3Polos voltaje del motor 220V Incluye Manija y conectores  agregar separadores de fases PB100  PB200 1SDA05497_R1,10
OTM630E3CM110V,OTM630E3CM110V = 1SCA022873R1050 - Transferencia I-O-II Motorizada 630A 3Polos voltaje del motor 110Vac/dc Incluye Manija y conectores  agregar separadores de fases PB100  PB200 1SDA05497_R1,7
OTM800E3CM110V,OTM800E3CM110V = 1SCA022872R5750 - Transferencia I-O-II Motorizada 800A 3Polos voltaje del motor 110Vac/dc Incluye Manija y conectores  agregar separadores de fases PB100  PB200 1SDA05497_R1,7
OTM800E3CM230C,OTM800E3CM230C = 1SCA103570R1001 - Transferencia I-O-II Motorizada 800A 3Polos voltaje del motor 220V Incluye Manija y conectores  agregar separadores de fases PB100  PB200 1SDA05497_R1,12
OTP125BA3M,OTP125BA3M = 1SCA022812R7420 - 125 Amps  Seccionador en Gabinete Plástico OTP  IP65  3 polos  Manija Amarilla/Roja  (125A  AC-22A  690 Vac)  (50A  AC-23A  690 Vac),33
OTP45B3M,SECCIONADOR 45A GABINETE3P,10
OTS250G1L,OTS250G1L = 1SCA022715R5340 - Accesorios OS  OT: Cubrebornes,9
OTZC13,OTZC13 = 1SCA022767R6910 - Kit PUENTES no aislados ( barras) P/OTM tam 1 (160-250 A)  3 polos,34
OTZC43,OTZC43 = 1SCA022868R0710 - Kit PUENTES no aislados ( barras) P/OTM tam 4 (1000-1250 A)  3 polos,13
OTZC53,OTZC53 = 1SCA022868R0980 - Kit PUENTES no aislados ( barras) P/OTM tam 5 (1600 A)  3 polos,3
OT100FT3,OT100FT3 = 1SCA105023R1001 - Seccionador OT  100A  3Polos  Mtaje. Directo a puerta  no requiere varilla,7
OT100F3,OT100F3 = 1SCA105004R1001 - Seccionador OT  100A  3 polos  Mtaje. Riel din  agregar manija y varilla,31
OT100F3C,OT100F3C = 1SCA105008R1001 - Transferencia Manual OT  3P 100A tipo Seccionador  Doble Tiro  I-O-II  Transicion Abierta  agregar manija y varilla 6mm  Mtaje riel din,7
OT125FT3,OT125FT3 = 1SCA105060R1001 - Seccionador OT  125A  3Polos  Mtaje. Directo a puerta  no requiere varilla,7
OT125F3,OT125F3 = 1SCA105033R1001 - Seccionador OT  125A  3 polos  Mtaje. Riel din  agregar manija y varilla,20
OT125F3C,OT125F3C = 1SCA105037R1001 - Transferencia Manual OT  3P 125A tipo Seccionador  Doble Tiro  I-O-II  Transicion Abierta  agregar manija y varilla 6mm  Mtaje riel din,10
OT16FT3,OT16FT3 = 1SCA104838R1001 - Seccionador OT  16A  3Polos  Mtaje. Directo a puerta  no requiere varilla,4
OT16F3,OT16F3 = 1SCA104811R1001 - Seccionador OT  16A  3Polos  Mtaje. Riel din  agregar manija y varilla 6mm,41
OT160EV03P,OT160EV03P = 1SCA120514R1001 - Seccionador OT  160A  Incluye manija y varilla,1
OT200U03P,OT200U03P = 1SCA022709R9920 - Seccionador OT  200A  Incluye manija y varilla,10
OT25FT3,OT25FT3 = 1SCA104884R1001 - Seccionador OT  25A  3Polos  Mtaje. Directo a puerta  no requiere varilla,9
OT25F3,OT25F3 = 1SCA104857R1001 - Seccionador OT  25A  3Polos  Mtaje. Riel din  agregar manija y varilla 6mm,5
OT30F3,OT30F3 = 1SCA105068R1001 - Seccionador OT  30A  3Polos  Mtaje. Riel din  agregar manija y varilla 6mm,14
OT315E03P,OT315E03P = 1SCA022718R8510 - Seccionador OT  315A  Incluye manija y varilla,13
OT40FT3,OT40FT3 = 1SCA104940R1001 - Seccionador OT  40A  3Polos  Mtaje. Directo a puerta  no requiere varilla,5
OT40F3,OT40F3 = 1SCA104902R1001 - Seccionador OT  40A  3Polos  Mtaje. Riel din  agregar manija y varilla 6mm,28
OT40F3C,OT40F3C = 1SCA104913R1001 - Transferencia Manual OT  3P 40A tipo Seccionador  Doble Tiro  I-O-II  Transicion Abierta  agregar manija y varilla 6mm  Mtaje riel din,8
OT400U03P,OT400U03P = 1SCA022718R9670 - Seccionador OT  400A  Incluye manija y varilla,4
OT60F3,OT60F3 = 1SCA105076R1001 - Seccionador OT  60A  3Polos  Mtaje. Riel din  agregar manija y varilla 6mm,10
OT600U03P,OT600U03P = 1SCA022718R9830 - Seccionador OT  600A  Incluye manija y varilla,4
OT63FT3,OT63FT3 = 1SCA105382R1001 - Seccionador OT  63A  3Polos  Mtaje. Directo a puerta  no requiere varilla,13
OT63F3,OT63F3 = 1SCA105332R1001 - Seccionador OT  63A  3Polos  Mtaje. Riel din  agregar manija y varilla 6mm,3
OT63F3C,OT63F3C = 1SCA105338R1001 - Transferencia Manual OT  3P 63A tipo Seccionador  Doble Tiro  I-O-II  Transicion Abierta  agregar manija y varilla 6mm  Mtaje riel din,4
OT80FT3,OT80FT3 = 1SCA105431R1001 - Seccionador OT  80A  3Polos  Mtaje. Directo a puerta  no requiere varilla,13
OT80F3,OT80F3 = 1SCA105798R1001 - Seccionador OT  80A  3Polos  Mtaje. Riel din  agregar manija y varilla 6mm,9
OT80F3C,OT80F3C = 1SCA105402R1001 - Transferencia Manual OT  3P 80A tipo Seccionador  Doble Tiro  I-O-II  Transicion Abierta  agregar manija y varilla 6mm  Mtaje riel din,10
OU2006GBCB,LUM. WALK LIGHT LED 8W,4
OU6025FBCB,SOMBRAS LED 74W 3000K 127-220V GRAFITO,4
OV1MV5KVS-OVNI,LUMINARIO LED 45W 100-277 5000 K OVNI,11
OXP6X150,OXP6X150 = 1SCA022295R5600 - Varilla para Manija Tipo Pistol ø 6 x 150mm para OT16...125Fy OT16...125F3C,7
OXP6X210,OXP6X210 = 1SCA022295R6080 - Varilla para Manija Tipo Pistol ø 6 x 210mm para OT16...125Fy OT16...125F3C,8
OXP6X290,OXP6X290 = 1SCA022042R6370 - Varilla para Manija Tipo Pistol ø 6 x 290mm para OT16...125Fy OT16...125F3C,13
OXS6X180,OXS6X180 = 1SCA101659R1001 - Varilla para manija Tipo Selector ø 6 x 180mm  para OT16...125Fy OT16...125F3C,29
OXS6X330,OXS6X330 = 1SCA101661R1001 - Varilla para manija Tipo Selector ø 6 x 330mm  para OT16...125Fy OT16...125F3C,36
PAL3020,LD CTR MLO 200A 30/60 AL N1 GR PON UL,1
PANLED-L/45/40/S,PANEL LED 45 W 4000K 100-240V,40
PBBU0008,SOPORTES UNIV  8 UD,19
PBHB1125,SOPORTE AISLADOR 1X10X50MM  24UD,22
PBRL0002,N.2 SOPORTES PARA ELEVACIﾓN STR.ADOSADAS,15
PB0803,SOPORTE DE BARRAS LINEAL IN=800A - 35 KA,1
PB1250-384-MEX,Tablero con Interruptor principal de 1 250 A para derivados (20-XT1 ó 16-XT3 ó 16-T4 ó 12-T5).,9
PB400-108-MEX,Tablero con Interruptor principal de 400 A   para derivados (6-XT1 ó 4-XT3).,3
PB400-216-MEX,Tablero con Interruptor principal de 400 A  para derivados (12-XT1 u 8-XT3).,7
PB400-384-MEX,Tablero con Interruptor principal de 400 A para derivados (20-XT1 ó 16-XT3).,3
PB400-384-MX,,4
PB630-216-MEX,Tablero con Interruptor principal de 630 A  para derivados (12-XT1 ó 8-XT3).,8
PB630-384-MEX,Tablero con Interruptor principal de 630 A para derivados (20-XT1 ó 16-XT3 ó 16-T4 ó 12-T5).,5
PB800-216-MEX,Tablero con Interruptor principal de 800 A  para derivados (12-XT1 ó 8-XT3).,2
PB800-384-MEX,Tablero con Interruptor principal de 800 A para derivados (20-XT1 ó 16-XT3 ó 16-T4 ó 12-T5).,5
PCCM0700,TRAVESAﾑOS CHAPA ZINCADA P=700MM  2 UD.,12
PCFM0600,TRAVESAﾑOS CHAPA ZINCADA A=600MM  4 UD.,1
PCFM0800,TRAVESAﾑOS CHAPA ZINCADA A=800MM  4 UD.,4
PCFM0900,TRAVESAﾑOS CHAPA ZINCADA P=900MM  4 UD.,1
PCRM0338,TRAVERSAﾑOS CHAPA ZINCADA A=338MM  2UD,17
PCRM0438,TRAVERSAﾑOS CHAPA ZINCADA A=438MM  2UD,20
PCRM0888,TRAVERSAÑOS CHAPA ZINCADA A=888MM,20
PC0300,PLAINBOTTOMPLATEFORBOX,23
PC1001,L Puerta ciega 1000x600mm,1
PC1436,L Puerta ciega 1400x800mm,7
PC1600,PANEL CIEGO 100X600MM  M  K,15
PC1836,L Puerta ciega 1800x800mm,3
PC2600,PANEL CIEGO 200X600MM  M  K,8
PC3600,PANEL CIEGO 300X600MM  M  K,1
PDRS0600,GUIA DIN A=600MM,24
PEBL0004,1STQ008112A0000 = N.4 STEEL LIFTING EYEBOLTS M12,8
PFPF2060,BASTIDOR FIJO H=2000MM A=600MM,4
PF1003,L Platina 200x600mm,10
PHCE1240,1STQ008164A0000 = KIT E1.2 3-4P ESTR.-I.HORIZ. A=600MM,3
PHCT7420,KIT T7 3-4P F(MOT-MD) HORIZ. A=600MM,4
PHFP0020,KIT 20 BISAGRAS PARA PANEL FRONTAL,13
PKST0600,1STQ001910B0000 = N.2 KIT TECHO IP31/41 COLUM. IZQ.L=600,1
PLT13P-MX,PB Conector 3P XT1,51
PLT33P-MX,PB Conector 3P XT3,59
PLT43PT-MX,PB CONECTOR 3P T4,9
PLT53PT-MX,PB Conector 3P T5,34
PL-4910.N27,LUMINARIO MAZE SOBRE PONER,1
PM2624,PANEL 24 MﾓDULOS 200X600MM  M  K,12
PM3624,PANEL 24 MﾓDULOS 300X600MM M K,3
POLIFLEX1/2,"POLIFLEX NARANJA 1/2""",100
PO1431,L Contrapuerta 1800x300mm,2
PPAM0100,ESQUINAS Z?CALO DE CHAPA ZINC.H=100 4 UD,4
PPEB2086,IP65 PANEL H=2000MM A=800MM,2
PPEB2096,IP65 PANEL H=2000MM P=900MM,12
PPFB2080,PANEL CIEGO H=200MM A=800MM,2
PPFB3060,1STQ007482A0000 = PANEL CIEGO H=300MM A=600MM,3
PPFB4060,PANEL CIEGO H=400MM A=600MM,5
PPFB5006,1STQ007484A0000 = PANEL CIEGO H=500MM A=600MM,5
PPFM1060,TAPAS ZﾓCALO FRONT. H=100 A=600MM  2 UD.,1
PPFM1070,TAPAS ZﾓCALO LAT. H=100 P=700MM  2 UD.,4
PPFM1080,TAPAS ZﾓCALO FRONT. H=100 A=800MM  2 UD.,4
PPFM1090,TAPAS ZﾓCALO LAT. H=100 P=900MM  2 UD.,1
PPMB4060,PLACA DE MONTAJE H=400MM A=600MM,4
PPMF2060,PANEL 24 MﾓDULOS DIN H=200MM A=600MM,24
PRCG-ES 15/2N,BASE P/RELEVADOR,10
PRCG-ES15/3N,BASE SOQUET P/RELEVADOR,10
PRCZ11,BASE P/RELEVADOR 11 PIN P/RIEL,38
PRCZ8,BASE P/RELEVADOR 8 PIN P/RIEL,30
PRC2P20ADL,RELEVADOR,10
PRC2P20AJL,RELEVADOR,48
PRC2P20AN,RELEVADOR,2
PRC2P20ANL,RELEVADOR,10
PRC2P20CD,RELEVADOR SPIN 2 CONTACTOS,25
PRC2P20CDL,RELEVADOR SPIN 2 CONTACTOS,21
PRC3P30ADL,RELEVADOR,7
PRC3P30AJL,RELEVADOR,9
PRC3P30AN,RELEVADOR,23
PRC3P30ANL,RELEVADOR,10
PRC3P30CDL,RELEVADOR 3 CONTACTOS,4
PRC3P30CJ,RELEVADOR,4
PRC4M20AJL,RELEVADOR 2 CONTACTOS,16
PRC4M20CDL,RELEVADOR 2 CONTATOS,20
PRC4M30AJL,RELEVADOR MINIATURA,20
PRC4M30CDL,RELEVADOR MINIATURA,29
PRC4M40AJL,RELEVADOR MINIATURA,20
PRC4M40CDL,RELEVADOR MINIATURA,29
PTLLED-209/24W/3,PRAIA*LUM SPOT SOBR LED 24W 30K,1
PTL-1940/N,LUMINARIO PARA S/PONER EN TECHO,1
PTRA0045,PTRA0045 Main Distribution Board,24
PUKI2000,PERFILES CHAPA ZINCADA H=2000MM,13
PVCE2450,1STQ008187A0000 = KIT E2.2 3-4P E-I. VERT. A=600MM,2
PVDE2440,KIT E2.2 E4.2 3-4P ENCH-I. VERT. A=800MM,1
PV0800,L Puerta vidrio 800x600mm,2
PV1200,L Puerta vidrio 1200x600mm,2
PV1400,L Puerta vidrio 1400x600mm,2
PV1436,L Puerta vidrio 1400x800mm,5
PV1600,L Puerta vidrio 1600x600mm,1
PV1824,GLASSDOORFORSTR.1800X800MM24MOD(HXW),1
PV1836,L Puerta vidrio 1800x800mm,2
PV2000,L Puerta vidrio 2000x600mm,2
P202133-05,FOCO LED 50W 6500K TOLEDO E26 120-240V,6
P9ACDPP,CONVERT.PUSH-ON/PUSH-OFF,7
P9ACFS5,BLOCK PARA 5 CONTACTOS,1
P9ACWAF,LLAVE FIJACION TUERCA,1
P9ARCST,PROTECTOR PLASTICO P/PULS EXTENDIDO,19
P9ARGLDR,CAPUCHON P/PILOTO ROJA,33
P9B02VN,BLOCK DE CONTACTO 2NC,63
P9B10BN,BLOCK DE CONTACTO NC,44
P9B10VN,CONTACTOR ABIERTO,113
P9B11VN,BLOCK DE CONTACTOS 1NA+1NC,36
P9B20VN,BLOCK DE CONTACTOS 2NA,30
P9DPLVRG01,BOTON DOBLE ARRANQUE Y PARO C/PLACA LEYE,40
P9EPE,Caja pulsadores 6 elementos,16
P9EPE01,GABINETE 1ORIFICIO 22MM,2
P9MEM4NN,BOTON HONGO NEGRO ACTURADOR DE 40MM,6
P9MEM4RN,BOTON HONGO ROJO ACTUADOR DE 40MM,5
P9MER4RN,BOTON HONGO ROJO GIRAR P/LIBERAR,6
P9MET4RL1,BOTON HONGO JALAR LIBERAR,14
P9MLGD,LAMPARA METALICA REDONDA,31
P9MLLD,LAMPARA METALICA REDONDA AZUL,43
P9MLRD,LAMPARA METALICA REDONDA ROJA,40
P9MLVD,LAMPARA METALICA REDONDA,17
P9MMN2F,MANIPULADOR 2POSIC. RETORNO MANUAL,1
P9MPLBGD,BOTON PULSADOR RASANTE BLANCO ILUMINADO,4
P9MPLGGD,BOTON METALICO RASANTE ILUM.AMARILLO,2
P9MPLGSD,BOTON PUL.MET.EXT.ILUM.AMARILLO,43
P9MPLLGD,BOTON METALICO RASANTE ILUM. AZUL,34
P9MPLLSD,BOTON METALICO EXTENDIDO ILUM. AZUL,42
P9MPLRGD,BOTON PUL.MET.RAS.ILUM.ROJO,36
P9MPLVGD,BOTON PUL.MET.RAS.ILUM.VERDE,1
P9MPLVSD,BOTON PUL.MET.EXT.ILUM.VERDE,3
P9MPNBG,BOTON METALICO RASANTE ILUM. BLANCO,4
P9MPNGE,BOTON METALICO HUNDIDO AMARILLO,20
P9MPNGG,BOTON PUL.MET.RAS.ILUM.AMARILLO,46
P9MPNGS,BOTON METALICO EXTENDIDO AMARILLO,47
P9MPNLG,BOTON PUL.MET.RAS.ILUM.AZUL,48
P9MPNLS,BOTON PUL.MET.RAS.ILUM.SATINADO,49
P9MPNNG,BOTON PUL.MET.RAS.ILUM.NEGRO,44
P9MPNNS,BOTON METALICO EXTENDIDO NEGRO,48
P9MPNRG,BOTON METALICO RASANTE ROJO,24
P9MPNVG,BOTON PUL.MET.RAS.ILUM.VERDE,11
P9MSCZ3C,BOTON PULSADOR,25
P9MSC20T,BOTON PULSADOR AZUL,30
P9MSMDO,SWITCH SELECTOR  2 POSICIONES,2
P9MSMD0N,Selector switches 2 Posiciones,6
P9MSMZ0N,Selector switches,48
P9MSMZ3N,SWITCH SELECTOR 3 POSICIONES,13
P9MSVD0N,Selector switches,69
P9MSVZ0N,184379 SELECTOR 3 POS.METALICO MANETA LA,3
P9MSVZ3N,SWITCH SELECTOR 3 POSICIONES,11
P9PDNV0,PORTALAMPARA,13
P9PLNVDB,BASE P/LAMPARA PILOTO LED 24V,3
P9PLNVJB,MODULO LAMPARA 120VAC LED AMARILLO,13
P9PLNVJR,MODULO LAMPARA 120VAC LED ROJO,13
P9PTNVJ,BLCK CON LAMPARA,30
P9PTNVN,BASE DE ALIMENTACION TIPO TRANSF. 220VCA,26
P9SPNNS,BOTON CUADRADO EXTENDIDO NEGRO,1
P9SPNRG,BOTON CUADRADO RASANTE ROJO,5
P9XEM4RN,P/BUTT MUSHROOM 40MM RED,10
P9XER4RAN,EMERGENCY STOP PUSH-TWIST,10
P9XLRD,LAMPARA PILOTO ROJA 120V PLASTICA,24
P9XLVD,LAMPARA PILOTO VERDE 120V PLALSTICA,26
P9XMN4T,PALANCA DE MANDO 4 POS.,3
P9XPNNG,P/BUTT FLUSH BLACK,10
P9XPNRG,STD PB;RD PLASTIC;FLUSH;RED,10
P9XPNRS,STD PB;RD PLASTIC;EXTENDED,10
P9XSMDON,SWITCH SELECTOR,194
P9XURDD0,LAMPARA PILOTO 22M,10
QLU2,CENTRO DE CARGA 1F 3H 2P 120/240VCA,5
QL4F,CENTRO DE CARGA 3H 4F 240V 70A,12
QO115,INTERR. TERMICO 1P 15 AMP,3
QO120,INTERRUPTOR TERMICO 1 POLO 20,37
QO130,INTERRUPTOR 30A 1 P,50
QO220,INTERR. TERMICO 2P 20 AMP SQD,6
QO230,INTERRUPTOR TERM. 2 X 30 AMP,10
QO260,INTERR. TERMICO 2P 60 AMP SQD,4
QO270,INTERR. TERMICO 2P 70 AMP SQD,16
QO3100,INTERR. TERMOMAGNETICO 3P 100,5
QO330,INTER TERMOMAGNETICO 3X30 QO SQD,5
QO340,INT TERM QO 3P 40A SQD,2
QO350,INTERR. TERMOMAGNETICO 3P 50 AMP SQD,3
QO360,INT TERM 3P 60 AMP QO SQD,6
QO370,INT TERM QO 3P 70A SQD,3
QR22B200MX,INTERRUPTOR QR 3P 200A 240V 10KA,2
RA5852905,KIT ASS.TERM.ANT.XT2 III,1
RA5852906,KIT ASS.TERM.ANT. XTE III,1
RA5873927,KIT SEP. FASE III 25MM UL,2
RA6708801,#N/D,1
RCR-PET,DET.DUAL PIR RADAR 3 A 11 MTS.,65
REGLED15WTLED300,REGLEDTA TIPO LED BLANCO CALIDO,1
RE1056BBCB,LUM EMPOTRAR CAMPANA 13W127-220V,1
RE1093BBNB,LITE PAD CUAD LED 25W 4000K 127-220V,15
RL4A040T3,CONTACTO AUXILIAR 4NA+1NC 110V,2
RL4RA031TJ,CONTACTO AUXILIAR 3NA+1NC 110V,2
RL4RA031T3,CONTACTOR AUXILIAR 3NA+1NA 110V,20
RL4RA040T3,CONTACTOR AUXILIAR,30
RL4RD022TD,CONTACTOR AUXILIAR 24VCD 2NA+2NC,8
RL4RD031TD,CONTACTOR AUXILIAR 24VCD 3NA+1NA,8
RL4RD040TD,CONTACTOR AUXILIAR 24VCD 4NA,13
RSFRH100.0BLACK,"Termofit negro 100mm( 4"")",20
RT1D,RELEVADOR 0.4-.65A,10
RT1F,RELEVADOR .65-1.1A,7
RT1G,RELEVADOR 1-1.5A,24
RT1H,RELEVADOR 1.3-1.9A,37
RT1J,RELEVADOR DE S/CARGA 1.8-2.7A,11
RT1K,RELEVADOR DE S/CARGA,22
RT1L,RELEVADOR TERMICO,16
RT1M,RELAY DE SOBRECARGA 5.5 - 8.5,1
RT1N,RELEVADOR 8-12A,2
RT1S,RELEVADOR 14.5-18A,19
RT1T,RELEVADOR DE SOBRE CARGA,13
RT1U,RELEVADOR 21-26A,1
RT1V,RELEVADOR 25-32A,13
RT1W,RELEVADOR 30-40A,3
RT2C,RELEVADOR 18.5-25A,5
RT2D,RELEVADOR 24-32A,7
RT2E,RELEVADOR TERMICO P/CONTACTOR,8
RT2G,RELEVADOR TERMICO P/CONTACTOR,3
RT2H,RELEVADOR 54-65A,9
RT2M,RELEVADOR 90-110V,7
RT2XP,BASE DE MONTAJE  P/RT2,5
RT3D,RELEVADOR 90-120A,6
RT3E,RELEVADOR 110-140A,3
RT4P,RELEVADOR 175-280A,6
R3240080,SK CUBIERTA CONTRA AGUA PRESION P/SK3240,2
SABAP1,SWITCH DE ALARMA,1
SAST1,Bobina de disparo Remoto 120v Spectra,2
SAST2,Bobina de disparo Remoto 240v Spectra,1
SAST3,Bobina de disparo Remoto 24v Spectra,1
SAUV1,Bobina contra bajo voltaje 120v Spectra,1
SAUV2,UNERVOLTAGE RELEASE 240V,1
SAUV3,Bobina contra bajo voltaje 24v Spectra,3
SAUXPAB1,Contacto Auxiliar 240v Spectra,2
SBAC1G,KIT DE CONVERSION DE SB A AC,6
SBAC4G,KIT CONVERTIDOR P-PLUG IN DE SB,6
SBE-606030,Gabinetes Metalicos 60x60x30,1
SBN11,BARRA NEUTRO 11 TERMINALES,50
SBN6,BASE NEUTRA 06 TERMINALES,50
SBSL1G,Convertidor Plug in SB a SL 30-100Amp,1
SBT11,BARRA TIERRA 11 TERMINALES,49
SBT6,BARRA TIERRA 6 TERMINALES,47
SB324RG,PLUG IN 200A 3F3F 220V,3
SB34SELG,PLUG IN CON INT SEL DE 60A REG.A 40A,1
SB365RGRH7769,PLUG IN 3F 3H 400A 600V FUSIBLE TIPO R,1
SB366RG,PLUG IN 3F 3H 600A 600V,2
SB43SEDG,BUS PLUG SPECTRA DE 30 AMP,1
SB461RG,PLUG  IN  30A MP.3F-4H 600V,8
SB464RG,Plug in Spectra 200A 3F-4H 600V,1
SCM12TBR,CAJ DE EMP PARA DIST PUERTA TRANS/H 12 M,40
SDCTBA11,Block de Terminales MVT y MEG,1
SDD61C04,INTERRUPTOR TERMOMAGNETICO 1P 4A 3kA,139
SDD61C16,INTERRUPTOR TERMOMAGNETICO 1P 16A 3 kA,267
SDD61C20,INTERRUPTOR TERMOMAGNETICO 1P 20A 3kA,545
SDD62C02,INTERRUPTOR TERMOMAGNETICO 2P 2A 3kA,106
SDD62C04,INTERRUPTOR TERMOMAGNETICO 2P 4 A 3kA,140
SDD63C02,INTERRUPTOR TERMOMAGNETICO 3P 2A 3kA,98
SDD63C04,INTERRUPTOR TERMOMAGNETICO 3P 4 Amp. 3kA,23
SDJS80,INTERRUPTOR ITG 80 AMP MARCA STECK,18
SDN61R15,Int. Term. Enchufable 1’’ 1x15A 120v,383
SDN61R20,Int. Term. Enchufable 1’’ 1x20A 120v,1
SDN61R30,Int. Term. Enchufable 1’’ 1x30A 120v,12
SDN61R40,Int. Term. Enchufable 1’’ 1x40A 120v,27
SDN61R50,Int. Term. Enchufable 1’’ 1x50A 120v,29
SDN61R60,Int. Term. Enchufable 1’’ 1x60A 120v,26
SDN62R15,Int. Term. Enchufable 1’’ 2x15A 120v,1
SDN62R20,Int. Term. Enchufable 1’’ 2x20A 120v,3
SDN62R30,Int. Term. Enchufable 1’’ 2x30A 120v,7
SDN62R40,Int. Term. Enchufable 1’’ 2x40A 120v,11
SDN62R50,Int. Term. Enchufable 1’’ 2x50A 120v,15
SDN62R60,Int. Term. Enchufable 1’’ 2x60A 120v,7
SDN63R15,Int. Term. Enchufable 1’’ 3x15A 120v,8
SDN63R20,Int. Term. Enchufable 1’’ 3x20A 120v,9
SDN63R30,Int. Term. Enchufable 1’’ 3x30A 120v,7
SDN63R40,Int. Term. Enchufable 1’’ 3x40A 120v,6
SDN63R50,Int. Term. Enchufable 1’’ 3x50A 120v,7
SDN63R60,Int. Term. Enchufable 1’’ 3x60A 120v,8
SDQ61C10,"Int. Term  enchufable de 1 p 10 amp 3/4""",102
SDQ61C20,"Int. Term enchufable de 1p 20 amp 3/4""",36549
SDQ61C30,"Int. Term enchufable de 1 p 30 amp 3/4""",10640
SDQ61C40,"Int. Term enchufable de 1 p 40 amp 3/4""",527
SDQ61C50,"Int. Term  enchufable de 1 p 50 amp 3/4""",264
SDQ61C60,"Int. Term enchufable de 1 p 60 amp 3/4""",192
SDQ62C10,"Int. Term enchufable de 2 p 10 amp 3/4""",152
SDQ62C20,"Int. Term enchufable de 2 p 20 amp 3/4""",4307
SDQ62C30,"Int. Term enchufable de 2 p 30 amp 3/4""",4299
SDQ62C40,"Int. Term  enchufable de 2 p 40 amp 3/4""",421
SDQ62C50,Int. Term. enchufable de 2 p 50 amp 3/4,208
SDQ62C60,Int. Term.  enchufable de 2 p 60 amp 3/4,93
SDQ63C10,Int. Term. enchufable de 3 p 10 amp 3/4,5
SDQ63C20,Int. Term enchufable de 3 p 20amp 3/4,150
SDQ63C30,Int. Term enchufable de 3p 30amp 3/4,233
SDQ63C40,Int. Term enchufable  3 p 40amp 3/4,167
SDQ63C50,Int. Term enchufable de 3P 50amp 3/4,45
SDQ63C60,Int. Term enchufable de 3 p 60amp 3/4,46
SDZD61C02,INTERRUPTOR 1 POLO 2A  6KA,500
SDZD61C04,DISJ SERIE DDZ61 04A 1P CURVA C 6KA,500
SDZD61C06,INT. TERMOMAGNETICO RIEL DIN 1P 6kA 6A,288
SDZD61C10,INT. TERMOMAGNETICO RIEL DIN 1P 10 Amp 6,499
SDZD61C16,INT. TERMOMAGNETICO RIEL DIN 1P 6kA 16A,490
SDZD61C20,INT. TERMOMAGNETICO RIEL DIN 1P 6kA 20A,488
SDZD61C32,MINI INTERRUPTOR TERMO 1X32A 6KA,170
SDZD62C04,INTERRUPTOR TERMOMAGNETICO 2P 4A 6kA,130
SDZD62C06,INTERRUPTOR TERMOMAGNETICO 2P 6A 6kA,146
SDZD63C04,INTERRUPTOR TERMOMAGNETICO 3P 4A 6KA,50
SDZD63C06,INTERRUPTOR TERMOMAGNETICO 3P 6A 6KA,89
SDZD63C10,INTERRUPTOR TERMOMAGNETICO 3P 10A 6KA,98
SEC60947-7-1,SEC60947-7-1,22
SEDA36AT0030,SEDA36AT0030 INT.TERM.SPECTRA 3X30 AMP.600V,45
SEDA36AT0060,SEDA36AT0060 Int. Term. Spectra 3x60Amp 18Ka,30
SEDA36AT0100,SEDA36AT0100 INT.SPECTRA 3X100AMP.18KA,43
SED36030WL,INT.TERM.SPECTRA 3X30 A 600V ARMADO,1
SED36070WL,INT.TERM.SPECTRA 3X70A 600V ARMADO,1
SEFHM1,PALANCA P/INT.SFH SFL,2
SEFHM2,MANIJA DE OPREACION P/SEH SFH,1
SEFOM1,MANIJAS DE OPERACION DE MONTAJE,4
SEHA24AT0100,MARCO SPECTRA,1
SEHA36AT0030,SEHA36AT0030 Int. Term. Spectra 3x30Amp 25Ka,7
SEHA36AT0060,SEHA36AT0060 Int. Term. Spectra 3x60Amp 25Ka,1
